ID czaswypelnienia czasnauka procentzajec czasaktywnosci srednia motywacja zaangazowanie FTP IQ ekstrawersja ugodowosc sumiennosc neurotyzm otwartoscnadoswiadczenia plec0 plec studia wiek edukacjarodzicow0 edukacjarodzicow wsparciefinansowe0 wsparciefinansowe dochodrozporzadzalny0 dochodrozporzadzalny trybstudiaw0 trybstudiaw kierunek humanistyczne inzynieryjnotechniczne medyczneinaukiozdrowiu unknown scisleiprzyrodnicze miejscowosc zamieszkanie0 zamieszkanie czasnauka0 czasaktywnosci0 biblio0 biblio l_zaangazowanie sq_zaangazowanie sq_FTP sq_IQ sq_sumiennosc l_neurotyzm l_zaangazowanie_boxcox l_l_zaangazowanie_boxcox FTP_trybstudiaw IQ_trybstudiaw ekstrawersja_trybstudiaw sumiennosc_trybstudiaw edukacjarodzicow_trybstudiaw wsparciefinansowe_trybstudiaw FTP_edukacjarodzicow IQ_edukacjarodzicow ekstrawersja_edukacjarodzicow sumiennosc_edukacjarodzicow wsparcie_edukacjarodzicow trybstudiaw_edukacjarodzicow mask sq_sq_sumiennosc sq_wsparciefinansowe czydochod czydochod2 uhat1
1 1303.00000724383 3 95 3 5 31 72.5 19 4 7 9 7 5 9 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Wieś" "Mieszkam sam;Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "2-3 godziny dziennie" "2-3 godziny dziennie" "Raz w tygodniu" 0 4.28358656186063 5256.25 361 16 49 1.6094379124341 15.0293863659264 2.71000737564775 19 4 7 7 1 5 19 4 7 7 5 1 1 2401 25 0 2500 0.172005749213692
2 1916.99999989942 0.5 100 1 4.22 30 54.1666666666667 19 3 4 3 8 8 3 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne;" 0 0 0 1 0 "Wieś" "Mieszkam w akademiku;" 0 "1-3 godziny tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w tygodniu" 4 3.99206571310168 2934.02777777778 361 9 64 2.07944154167984 12.7196014438797 2.54314422439276 19 3 4 8 1 5 19 3 4 8 5 1 1 4096 25 0 2500 -1.67078585640177
3 2212.000004109 3 100 1 4.1 31 75 19 3 5 5 6 5 6 "Kobieta" 0 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Tylko podczas sesji" 1 4.31748811353631 5625 361 9 36 1.6094379124341 15.3205080756888 2.72919232797198 19 3 5 6 0 3 0 0 0 0 0 0 1 1296 9 0 2500 1.74314505008614
4 1617.00000206474 6 0 0.5 4.64 32 50 16 3 4 4 9 6 5 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Trochę pracuję, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam z bratem;" 0 "4 godziny dziennie lub więcej" "1-3 godziny tygodniowo" "Rzadziej lub wcale" 0 3.91202300542815 2500 256 9 81 1.79175946922806 12.142135623731 2.49668168644745 16 3 4 9 1 4 16 3 4 9 4 1 1 6561 16 0 2500 -1.17656631725441
5 1019.00000120513 1 70 6 4 28 43.3333333333333 12 3 8 9 5 9 9 "Mężczyzna" 1 "4 lata" 23 "Wykształcenie wyższe" 1 "Trochę pracuję, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.76892216178747 1877.77777777778 144 9 25 2.19722457733622 11.1656117720877 2.41283867752926 12 3 8 5 1 4 12 3 8 5 4 1 1 625 16 2500 0 0.785105651822363
6 535.999999567867 1 100 0 4.13 33 58.3333333333333 16 3 6 4 5 7 5 "Kobieta" 0 "2 lata" 21 "Wykształcenie wyższe" 1 "Trochę pracuję, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "mniej niż 1 godzinę tygodniowo" "Tylko podczas sesji" 1 4.0661736852554 3402.77777777778 256 9 25 1.94591014905531 13.2752523165195 2.5859015738415 16 3 6 5 1 4 16 3 6 5 4 1 1 625 16 500 0 0.499496715280815
8 5448.99999699555 0.5 50 3 3.67 27 29.1666666666667 16 2 4 7 3 7 9 "Kobieta" 0 "4 lata" 23 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "<1000" 500 "Studia stacjonarne;" 1 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "2-3 godziny dziennie" "Kilka razy w miesiącu" 3 3.37302650469546 850.694444444444 256 4 9 1.94591014905531 8.80123449734643 2.17489199543468 16 2 4 3 1 3 16 2 4 3 3 1 1 81 9 500 0 -3.162092358483
9 1754.00000642985 3 95 3 4 32 72.5 18 2 7 5 6 7 5 "Nie chcę podawać" NA "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "2-3 godziny dziennie" "Kilka razy w tygodniu" 4 4.28358656186063 5256.25 324 4 36 1.94591014905531 15.0293863659264 2.71000737564775 0 0 0 0 0 0 18 2 7 6 5 0 1 1296 25 1500 0 NA
10 637.000001803972 0 75 0 4 28 37.5 12 5 6 6 8 5 6 "Osoba niebinarna" NA "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "2000-2999" 2500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Miasto do 50 tys." "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "w ogóle nie przygotowuję się do zajęć" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.62434093297637 1406.25 144 25 64 1.6094379124341 10.2474487139159 2.32702876864276 0 0 0 0 0 0 0 0 0 0 0 0 1 4096 9 0 2500 NA
11 889.999997452832 0 80 6 4.6 31 40 13 1 6 5 8 9 7 "Kobieta" 0 "4 lata" 23 "Wykształcenie średnie" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Wieś" "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "mniej niż 1 godzinę tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.68887945411394 1600 169 1 64 2.19722457733622 10.6491106406735 2.36547638075047 0 0 0 0 0 0 0 0 0 0 0 0 1 4096 4 0 4000 -0.827558016528702
